"team.id" "team.name" "team.logo" "league.id" "league.name" "league.country" "league.logo" "league.flag" "league.season" "games.appearences" "games.lineups" "games.minutes" "games.number" "games.position" "games.rating" "games.captain" "substitutes.in" "substitutes.out" "substitutes.bench" "shots.total" "shots.on" "goals.total" "goals.conceded" "goals.assists" "goals.saves" "passes.total" "passes.key" "passes.accuracy" "tackles.total" "tackles.blocks" "tackles.interceptions" "duels.total" "duels.won" "dribbles.attempts" "dribbles.success" "dribbles.past" "fouls.drawn" "fouls.committed" "cards.yellow" "cards.yellowred" "cards.red" "penalty.won" "penalty.commited" "penalty.scored" "penalty.missed" "penalty.saved" "player.id" "player.name" "player.firstname" "player.lastname" "player.age" "player.nationality" "player.height" "player.weight" "player.injured" "player.photo" "player.birth.date" "player.birth.place" "player.birth.country" "id"
"11" 48 "West Ham" "https://media.api-sports.io/football/teams/48.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 36 34 2993 NA "Attacker" "7.033333" FALSE 2 12 2 56 34 12 0 10 NA 714 42 15 36 2 21 370 167 88 50 NA 43 25 6 0 0 NA NA 0 0 NA 19428 "J. Bowen" "Jarrod" "Bowen" 27 "England" "175 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19428.png" "1996-12-20" "Leominster" "England" 11
"12" 46 "Leicester" "https://media-2.api-sports.io/football/teams/46.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 35 28 2466 NA "Midfielder" "7.302857" FALSE 7 14 7 54 34 12 0 8 NA 955 49 22 40 3 11 254 140 48 31 NA 64 22 3 0 0 NA NA 0 0 NA 18784 "J. Maddison" "James Daniel" "Maddison" 27 "England" "175 cm" "73 kg" FALSE "https://media.api-sports.io/football/players/18784.png" "1996-11-23" "Coventry" "England" 12
"13" 55 "Brentford" "https://media-1.api-sports.io/football/teams/55.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 33 32 2908 NA "Attacker" "7.339393" FALSE 1 0 1 64 30 12 0 5 NA 733 43 13 33 2 14 540 284 50 24 NA 80 50 8 0 0 NA NA 5 0 NA 19974 "I. Toney" "Ivan" "Toney" 27 "England" "179 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19974.png" "1996-03-16" "Northampton" "England" 13
"14" 49 "Chelsea" "https://media-2.api-sports.io/football/teams/49.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media.api-sports.io/flags/gb.svg" 2021 32 27 2365 NA "Midfielder" "7.443750" FALSE 5 7 8 55 29 11 0 10 NA 1115 58 29 41 1 13 230 88 42 18 NA 23 30 4 0 0 NA NA 1 0 NA 19220 "M. Mount" "Mason Tony" "Mount" 24 "England" "181 cm" "76 kg" FALSE "https://media.api-sports.io/football/players/19220.png" "1999-01-10" "Portsmouth" "England" 14
"15" 66 "Aston Villa" "https://media-1.api-sports.io/football/teams/66.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media.api-sports.io/flags/gb.svg" 2021 35 33 2955 NA "Attacker" "6.891428" FALSE 2 5 2 52 32 11 0 2 NA 674 35 13 17 3 12 382 158 68 37 NA 39 33 7 0 0 NA NA 1 0 NA 19366 "O. Watkins" "Oliver George Arthur" "Watkins" 28 "England" "180 cm" "70 kg" FALSE "https://media-2.api-sports.io/football/players/19366.png" "1995-12-30" "Torbay" "England" 15
"16" 42 "Arsenal" "https://media-1.api-sports.io/football/teams/42.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media.api-sports.io/flags/gb.svg" 2021 38 36 2996 NA "Midfielder" "6.989473" FALSE 2 20 2 58 31 11 0 7 NA 1062 69 22 40 2 22 371 165 102 43 NA 59 39 6 0 0 NA NA 2 0 NA 1460 "B. Saka" "Bukayo Ayoyinka" "Saka" 22 "England" "178 cm" "72 kg" FALSE "https://media-2.api-sports.io/football/players/1460.png" "2001-09-05" "London" "England" 16
"17" 71 "Norwich" "https://media.api-sports.io/football/teams/71.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 37 37 3261 NA "Attacker" "6.724324" FALSE 0 8 0 51 27 11 0 3 NA 524 27 10 23 1 4 290 90 60 27 NA 25 31 4 0 0 NA NA 3 0 NA 19085 "T. Pukki" "Teemu Eino Antero" "Pukki" 33 "Finland" "180 cm" "75 kg" FALSE "https://media.api-sports.io/football/players/19085.png" "1990-03-29" "Kotka" "Finland" 17
"18" 50 "Manchester City" "https://media-1.api-sports.io/football/teams/50.png" 39 "Premier League" "England" "https://media-2.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 28 15 1491 NA "Attacker" "7.260714" FALSE 13 5 21 44 23 11 0 5 NA 826 40 26 11 1 6 142 60 50 26 NA 15 10 0 0 0 NA NA 4 1 NA 635 "R. Mahrez" "Riyad Karim" "Mahrez" 32 "Algeria" "179 cm" "67 kg" FALSE "https://media-2.api-sports.io/football/players/635.png" "1991-02-21" "Sarcelles" "France" 18
"19" 63 "Leeds" "https://media-1.api-sports.io/football/teams/63.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 35 34 2922 NA "Attacker" "6.954285" FALSE 1 8 1 62 25 11 0 3 NA 1074 67 21 51 NA 29 420 182 146 62 NA 47 40 7 0 0 NA NA 4 0 NA 1496 "Raphinha" "Raphael" "Dias Belloli" 27 "Brazil" "176 cm" "68 kg" FALSE "https://media-1.api-sports.io/football/players/1496.png" "1996-12-14" "Porto Alegre" "Brazil" 19
"20" 48 "West Ham" "https://media-1.api-sports.io/football/teams/48.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 36 34 2980 NA "Attacker" "6.966666" FALSE 2 10 3 59 29 10 0 8 NA 615 46 11 23 1 3 489 204 93 50 NA 52 50 7 1 0 NA NA 0 1 NA 18819 "M. Antonio" "Michail Gregory" "Antonio" 33 "Jamaica" "180 cm" "82 kg" FALSE "https://media-1.api-sports.io/football/players/18819.png" "1990-03-28" "London" "England" 20
